rain_24h_mm,rain_72h_mm,rain_7d_mm,rainfall_source,event_id
44.3,86.4,116.0,ERA5_GPM_CALIBRATED_ARCHIVE,NASA_COOLR_LS_01
8.0,32.0,81.3,ERA5_GPM_CALIBRATED_ARCHIVE,NASA_COOLR_LS_02
3.1,12.1,41.6,ERA5_GPM_CALIBRATED_ARCHIVE,NASA_COOLR_LS_03
27.2,37.0,44.6,ERA5_GPM_CALIBRATED_ARCHIVE,NASA_COOLR_LS_04
23.0,24.9,55.7,ERA5_GPM_CALIBRATED_ARCHIVE,NASA_COOLR_LS_05
7.8,70.2,188.4,ERA5_GPM_CALIBRATED_ARCHIVE,NASA_COOLR_LS_06
0.5,6.6,23.6,ERA5_GPM_CALIBRATED_ARCHIVE,NASA_COOLR_LS_07
15.1,29.8,65.8,ERA5_GPM_CALIBRATED_ARCHIVE,NASA_COOLR_LS_08
